,Artist,Link Ext,Path,Year,Genre
Maestà duccio,duccio,/en/duccio/maesta-1280,Wikiart/duccio/maesta-1280.jpg,1280,religious painting
Crevole Madonna duccio,duccio,/en/duccio/crevole-madonna,Wikiart/duccio/crevole-madonna.jpg,1280,religious painting
Madonna and Child (no. 593) duccio,duccio,/en/duccio/madonna-and-child-no-593,Wikiart/duccio/madonna-and-child-no-593.jpg,1280,religious painting
Madonna of Crevole duccio,duccio,/en/duccio/madonna-of-crevole-1284,Wikiart/duccio/madonna-of-crevole-1284.jpg,1284,religious painting
Madonna and Child duccio,duccio,/en/duccio/madonna-and-child-1305,Wikiart/duccio/madonna-and-child-1305.jpg,1305,religious painting
Saint Catherine of Alexandria Polyptych simone martini,simone martini,/en/simone-martini/saint-catherine-of-alexandria-polyptych-1319,Wikiart/simone-martini/saint-catherine-of-alexandria-polyptych-1319.jpg,1319,religious painting
Crucifix pietro lorenzetti,pietro lorenzetti,/en/pietro-lorenzetti/crucifix,Wikiart/pietro-lorenzetti/crucifix.jpg,1320,religious painting
Polyptych pietro lorenzetti,pietro lorenzetti,/en/pietro-lorenzetti/polyptych-1320,Wikiart/pietro-lorenzetti/polyptych-1320.jpg,1320,religious painting
Maestà simone martini,simone martini,/en/simone-martini/maest-1321,Wikiart/simone-martini/maest-1321.jpg,1321,religious painting
Coronation of the Virgin paolo veneziano,paolo veneziano,/en/paolo-veneziano/coronation-of-the-virgin-1324,Wikiart/paolo-veneziano/coronation-of-the-virgin-1324.jpg,1324,religious painting
Madonna of the Poppy paolo veneziano,paolo veneziano,/en/paolo-veneziano/madonna-of-the-poppy-1325,Wikiart/paolo-veneziano/madonna-of-the-poppy-1325.jpg,1325,religious painting
Madonna and Child with Two Votaries paolo veneziano,paolo veneziano,/en/paolo-veneziano/madonna-and-child-with-two-votaries-1325,Wikiart/paolo-veneziano/madonna-and-child-with-two-votaries-1325.jpg,1325,religious painting
Shaped Cross pietro lorenzetti,pietro lorenzetti,/en/pietro-lorenzetti/shaped-cross-1325,Wikiart/pietro-lorenzetti/shaped-cross-1325.jpg,1325,religious painting
Virgin and Child with Saints (Boston Polyptych) simone martini,simone martini,/en/simone-martini/virgin-and-child-with-saints-boston-polyptych-1325,Wikiart/simone-martini/virgin-and-child-with-saints-boston-polyptych-1325.jpg,1325,religious painting
The Miracle of the Child Attacked and Rescued by Augustine Novello simone martini,simone martini,/en/simone-martini/the-miracle-of-the-child-attacked-and-rescued-by-augustine-novello-1328,Wikiart/simone-martini/the-miracle-of-the-child-attacked-and-rescued-by-augustine-novello-1328.jpg,1328,religious painting
Predella Panel. Hermits at the Fountain of Elijah pietro lorenzetti,pietro lorenzetti,/en/pietro-lorenzetti/predella-panel-hermits-at-the-fountain-of-elijah-1329,Wikiart/pietro-lorenzetti/predella-panel-hermits-at-the-fountain-of-elijah-1329.jpg,1329,religious painting
Predella Panel. St Albert Presents the Rule to the Carmelites pietro lorenzetti,pietro lorenzetti,/en/pietro-lorenzetti/predella-panel-st-albert-presents-the-rule-to-the-carmelites-1329,Wikiart/pietro-lorenzetti/predella-panel-st-albert-presents-the-rule-to-the-carmelites-1329.jpg,1329,religious painting
Monument to the Doge Francesco Dandolo paolo veneziano,paolo veneziano,/en/paolo-veneziano/monument-to-the-doge-francesco-dandolo-1339,Wikiart/paolo-veneziano/monument-to-the-doge-francesco-dandolo-1339.jpg,1339,religious painting
Doge Francesco Dandolo and His Wife Presented to the Madonna paolo veneziano,paolo veneziano,/en/paolo-veneziano/doge-francesco-dandolo-and-his-wife-presented-to-the-madonna-1339,Wikiart/paolo-veneziano/doge-francesco-dandolo-and-his-wife-presented-to-the-madonna-1339.jpg,1339,religious painting
